Postcode Sector,LSOA11CD,IMD_Decile,Latitude,Longitude
NE128,E01008471,4.0,55.01819288586156,-1.576228522397639
NE129,E01008472,9.0,55.01826024055988,-1.561205585975758
NE128,E01008473,7.0,55.01479493904984,-1.5657089403970017
NE129,E01008473,7.0,55.01479493904984,-1.5657089403970017
NE128,E01008474,2.0,55.01325673025846,-1.5772206810669456
NE7 7,E01008474,2.0,55.01325673025846,-1.5772206810669456
NE125,E01008475,9.0,55.04162482312374,-1.5711310832826426
NE126,E01008475,9.0,55.04162482312374,-1.5711310832826426
NE237,E01008475,9.0,55.04162482312374,-1.5711310832826426
NE125,E01008476,3.0,55.04465573848551,-1.5820300585734342
NE237,E01008476,3.0,55.04465573848551,-1.5820300585734342
NE126,E01008477,2.0,55.03459929370384,-1.5785028105548888
NE237,E01008478,3.0,55.05003986316613,-1.5698011405257972
NE126,E01008479,10.0,55.03624608877587,-1.5699166768660011
NE237,E01008480,2.0,55.05918977111804,-1.5803635922844892
NE297,E01008481,2.0,55.006805066260256,-1.482927237370158
NE290,E01008482,1.0,55.00665486529403,-1.4660754886412752
NE297,E01008482,1.0,55.00665486529403,-1.4660754886412752
NE290,E01008483,4.0,55.00739510001432,-1.4547551269748085
NE296,E01008484,1.0,55.003342768877225,-1.474832837600459
NE297,E01008484,1.0,55.003342768877225,-1.474832837600459
NE290,E01008485,1.0,55.0048295646204,-1.4617255741732271
NE296,E01008485,1.0,55.0048295646204,-1.4617255741732271
NE297,E01008485,1.0,55.0048295646204,-1.4617255741732271
NE290,E01008486,3.0,55.01217512785396,-1.4678998690440717
NE297,E01008486,3.0,55.01217512785396,-1.4678998690440717
NE297,E01008487,2.0,55.016724328508346,-1.4748768321384582
NE298,E01008487,2.0,55.016724328508346,-1.4748768321384582
NE270,E01008488,3.0,55.02049927173185,-1.4986260193266614
NE298,E01008488,3.0,55.02049927173185,-1.4986260193266614
NE298,E01008489,2.0,55.02252061422514,-1.474097859349743
NE298,E01008490,4.0,55.02136767922961,-1.4809719291746477
NE298,E01008491,2.0,55.01467703959789,-1.4901460343766484
NE297,E01008492,2.0,55.01131802478884,-1.4760989811661396
NE302,E01008493,9.0,55.026383782844746,-1.4422735551717727
NE303,E01008493,9.0,55.026383782844746,-1.4422735551717727
NE299,E01008494,4.0,55.0264571486572,-1.4508872693136414
NE303,E01008494,4.0,55.0264571486572,-1.4508872693136414
NE303,E01008495,10.0,55.03083888154637,-1.4393180850518368
NE303,E01008496,4.0,55.033904112776646,-1.4333203817027906
NE304,E01008496,4.0,55.033904112776646,-1.4333203817027906
NE303,E01008497,10.0,55.03407253147796,-1.4417911475561818
NE299,E01008498,9.0,55.03053972712672,-1.4527997232851289
NE303,E01008498,9.0,55.03053972712672,-1.4527997232851289
NE126,E01008499,5.0,55.02609558251092,-1.5719881150119213
NE127,E01008499,5.0,55.02609558251092,-1.5719881150119213
NE126,E01008500,7.0,55.02703129647082,-1.556068279212544
NE127,E01008500,7.0,55.02703129647082,-1.556068279212544
NE129,E01008500,7.0,55.02703129647082,-1.556068279212544
NE129,E01008501,8.0,55.02499519570616,-1.529263722415159
NE270,E01008501,8.0,55.02499519570616,-1.529263722415159
NE129,E01008502,4.0,55.0225719945597,-1.5562182989668814
NE129,E01008503,3.0,55.02339710665719,-1.5439055337306622
NE270,E01008503,3.0,55.02339710665719,-1.5439055337306622
NE126,E01008504,10.0,55.04023293214873,-1.554935697169863
NE270,E01008504,10.0,55.04023293214873,-1.554935697169863
NE126,E01008505,7.0,55.03049279746924,-1.564772736559516
NE127,E01008505,7.0,55.03049279746924,-1.564772736559516
NE129,E01008505,7.0,55.03049279746924,-1.564772736559516
NE126,E01008506,4.0,55.03588163103445,-1.5566463539643258
NE126,E01008507,8.0,55.03364279225168,-1.5468566022091723
NE280,E01008508,3.0,55.00240782311496,-1.494063901266967
NE280,E01008509,2.0,55.002628046658906,-1.50471879057538
NE287,E01008509,2.0,55.002628046658906,-1.50471879057538
NE280,E01008510,3.0,54.99920767498893,-1.4956839169961773
NE280,E01008511,3.0,54.9983376806941,-1.5048372845882243
NE287,E01008511,3.0,54.9983376806941,-1.5048372845882243
NE280,E01008512,2.0,55.00617044741971,-1.5015033105538207
NE287,E01008512,2.0,55.00617044741971,-1.5015033105538207
NE128,E01008513,4.0,55.015013294716695,-1.5957567507010106
NE127,E01008514,4.0,55.02116959718821,-1.5847765339668731
NE128,E01008514,4.0,55.02116959718821,-1.5847765339668731
NE127,E01008516,9.0,55.03268141188154,-1.5862420474340453
NE258,E01008517,10.0,55.04572851634922,-1.4676317121965672
NE259,E01008517,10.0,55.04572851634922,-1.4676317121965672
NE259,E01008518,7.0,55.04080769110836,-1.4847946115469233
NE259,E01008519,7.0,55.04374958045474,-1.474549114259159
NE258,E01008520,9.0,55.04469005436919,-1.4596835821934828
NE261,E01008520,9.0,55.04469005436919,-1.4596835821934828
NE263,E01008520,9.0,55.04469005436919,-1.4596835821934828
NE259,E01008521,9.0,55.03893548839861,-1.47760330214268
NE258,E01008522,10.0,55.04010476888418,-1.471297777537478
NE259,E01008522,10.0,55.04010476888418,-1.471297777537478
NE263,E01008523,10.0,55.04920673220063,-1.4600990022533995
NE290,E01008524,1.0,55.00890956916588,-1.4464528928512703
NE296,E01008524,1.0,55.00890956916588,-1.4464528928512703
NE301,E01008524,1.0,55.00890956916588,-1.4464528928512703
NE302,E01008524,1.0,55.00890956916588,-1.4464528928512703
NE299,E01008525,8.0,55.019843742518745,-1.4529291277858556
NE302,E01008525,8.0,55.019843742518745,-1.4529291277858556
NE290,E01008526,9.0,55.017012198919005,-1.4626082692721765
NE299,E01008526,9.0,55.017012198919005,-1.4626082692721765
NE302,E01008526,9.0,55.017012198919005,-1.4626082692721765
NE290,E01008527,8.0,55.01645994045078,-1.4487374926263492
NE299,E01008527,8.0,55.01645994045078,-1.4487374926263492
NE302,E01008527,8.0,55.01645994045078,-1.4487374926263492
NE290,E01008528,7.0,55.01389002957807,-1.4547419352674351
NE299,E01008528,7.0,55.01389002957807,-1.4547419352674351
